"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Pokémon FireRed/LeafGreen","50370","111111315","2076","4525","598376","712.776652"
"2","Pokémon Sword/Shield","16125","22352310","1235","3138","163584","608.684651"
"3","Mafia.gg","9480","7633110","825","1654","78540","497.088607"
"4","Final Fantasy XIV Online","9375","7303470","790","1707","49730","318.272"
"5","The Legend of Zelda: Ocarina of Time","8310","11883930","1370","5932","60972","440.231046"
"6","Bingo","6660","4769760","729","2029","45308","408.18018"
"7","Fire Emblem: Three Houses","4785","4141710","878","1279","40840","512.100313"
"8","Mario Party 3","4470","10457550","1857","21783","411662","5525.664429"
"9","Super Mario 64","4440","5746260","1184","2040","39086","528.189189"
"10","Mario Golf: Super Rush","4035","5311500","1167","2137","38376","570.64684"
"11","Call of Duty: Warzone","3540","2578305","676","1614","16267","275.711864"
"12","Sports","2850","2398905","842","4952","162450","3420"
"13","Old School RuneScape","1920","1305030","648","1166","12356","386.125"
"14","Pokémon Stadium","1815","2813385","1368","2190","16096","532.099173"
"15","Yu-Gi-Oh! Forbidden Memories","1680","2296560","1251","2655","14048","501.714285"
"16","Mario Party Superstars","1650","3075270","1853","2497","18742","681.527272"
"17","Paper Mario","1425","1533480","949","1724","13738","578.442105"
"18","The Elder Scrolls V: Skyrim","1410","1786950","1168","1803","10383","441.829787"
"19","Pokémon Brilliant Diamond/Shining Pearl","1365","1761030","1296","1806","12826","563.780219"
"20","Super Mario Maker 2","1350","1755780","1185","2653","14849","659.955555"
"21","Pokémon HeartGold/SoulSilver","1200","2272965","1851","2562","33664","1683.2"
"22","Banjo-Kazooie","1140","1343460","865","1611","9035","475.526315"
"23","Chess","1035","1127145","1059","1951","14084","816.463768"
"24","Pokémon Black/White Version 2","975","1489200","1435","2080","8416","517.907692"
"25","Pokémon Stadium 2","960","1670340","1645","2264","10238","639.875"
"26","Yakuza Kiwami","900","458685","504","1062","3717","247.8"
"27","Winnie the Pooh's Home Run Derby!","840","899970","1177","1560","6746","481.857142"
"28","Super Mario RPG: Legend of the Seven Stars","765","1236630","1642","2038","10148","795.921568"
"29","Rocket: Robot on Wheels","735","1169955","1294","2011","7726","630.693877"
"30","Resident Evil 5","675","613185","823","1680","11931","1060.533333"
"31","The Legend of Zelda: Breath of the Wild","660","1784595","1967","8869","162157","14741.545454"
"32","Mario Party 2","645","1170435","1814","2064","6842","636.465116"
"33","Super Mario Bros.","615","1059225","1714","2187","6400","624.390243"
"34","SpongeBob SquarePants: Battle For Bikini Bottom","615","1177605","1559","2224","8329","812.585365"
"35","Super Mario Bros. 35","585","422025","849","2094","4069","417.333333"
"36","Ape Escape","540","1111425","1697","2539","10578","1175.333333"
"37","Shadow the Hedgehog","510","600525","1177","1390","4383","515.647058"
"38","Risk II","495","704715","1133","1797","4740","574.545454"
"39","Pikmin 3","495","1063845","1840","2450","8846","1072.242424"
"40","Undertale","495","734100","1170","1937","5587","677.212121"
"41","Sonic Adventure","495","825660","1329","2047","6387","774.181818"
"42","Professor Layton and the Azran Legacy","480","222690","448","713","2362","295.25"
"43","New Pokémon Snap","420","469500","1117","2012","5121","731.571428"
"44","Super Mario 3D World + Bowser's Fury","405","639960","1461","1946","4810","712.592592"
"45","Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda","375","420765","902","1340","4693","750.88"
"46","Castlevania","345","553575","1622","2453","5842","1016"
"47","Wario Land 4","345","442215","1209","1867","4452","774.260869"
"48","Shovel Knight","330","381750","937","1462","2599","472.545454"
"49","Super Mario 64","330","418440","1102","1704","2177","395.818181"
"50","Metroid: Zero Mission","315","538935","1431","2379","4377","833.714285"
"51","Super Smash Bros. Melee","285","380175","1333","1748","2557","538.315789"
"52","League of Legends","270","360735","1336","2493","1908","424"
"53","Pokémon Crystal","270","207750","769","1000","1477","328.222222"
"54","Yu-Gi-Oh! The Duelists of the Roses","270","476430","1764","2038","4781","1062.444444"
"55","Mario vs. Donkey Kong","255","327750","1277","1956","3947","928.705882"
"56","Super Mario Party","225","285765","1285","1783","2841","757.6"
"57","Mario Kart 8","210","425010","2008","2235","2711","774.571428"
"58","Mario Golf: Toadstool Tour","210","511305","2434","2850","4815","1375.714285"
"59","Pokémon Stadium","210","354465","1687","1836","1785","510"
"60","Zelda: The Wand of Gamelon","210","210630","1002","1237","2263","646.571428"
"61","Donkey Kong Country 2: Diddy's Kong Quest","195","212430","1137","1422","2031","624.923076"
"62","Kirby 64: The Crystal Shards","180","147975","546","1056","1302","434"
"63","Galaga","165","157110","860","1389","969","352.363636"
"64","Back 4 Blood","165","111300","674","870","1195","434.545454"
"65","Advance Wars 2: Black Hole Rising","150","105285","701","925","907","362.8"
"66","Jackbox Party Packs","150","80775","538","754","869","347.6"
"67","Just Chatting","150","93690","614","975","1043","417.2"
"68","Spy Fox in ""Dry Cereal""","150","228825","1525","1577","780","312"
"69","Circus Games","150","70440","469","606","1066","426.4"
"70","The Video Game Machine","135","127185","942","1151","1591","707.111111"
"71","Outriders","135","185145","1371","1605","7706","3424.888888"
"72","Retro","120","225480","1879","2014","1592","796"
"73","Minecraft","120","55575","463","577","416","208"
"74","Mario Kart: Double Dash!!","105","114090","1086","1801","2997","1712.571428"
"75","Streets of Rage 2","105","161280","1512","1674","2052","1172.571428"
"76","Chex Quest HD","105","62070","426","819","801","457.714285"
"77","Special Events","105","83535","755","1172","393","224.571428"
"78","Food & Drink","90","177090","1967","2109","1511","1007.333333"
"79","Teenage Mutant Ninja Turtles IV: Turtles in Time","90","97725","1085","1458","2303","1535.333333"
"80","Super Mario Bros. All-Star Quest","90","104670","1163","1665","1771","1180.666666"
"81","Trivia","75","40635","541","819","644","515.2"
"82","Mighty Morphin Power Rangers","75","128760","1716","1834","805","644"
