"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"49","Super Mario World","465","428625","941","1265","5534","714.064516"
"50","Luigi's Mansion","450","471780","1048","1252","5055","674"
"51","Donkey Kong 64","420","280140","691","779","4040","577.142857"
"52","Donkey Kong Country: Tropical Freeze","390","278385","531","964","3933","605.076923"
"53","Sid Meier's Civilization VI","360","184980","513","582","3492","582"
"54","JumpStart Advanced Preschool: StoryLand","345","325395","943","1140","3263","567.47826"
"55","Mario Kart 64","345","382410","1108","1416","3605","626.956521"
"56","Mario Golf","330","333510","1010","1328","1765","320.90909"
"57","Super Mario 3D World","315","350010","1111","1637","15556","2963.047619"
"58","Stardew Valley","270","279765","975","1481","1881","418"
"59","Are You Afraid of the Dark? The Tale of Orpheo's Curse","270","184500","683","812","2088","464"
"60","Super Mario World 2: Yoshi's Island","255","238455","935","1237","26183","6160.705882"
"61","Oregon Trail II","240","217230","905","1236","2559","639.75"
"62","New Super Mario Bros. U","210","320985","1528","2010","2641","754.571428"
"63","Counter-Strike: Global Offensive","210","86385","411","499","301","86"
"64","Tabletop Simulator","210","79635","379","409","172","49.142857"
"65","Star Wars: Jedi Knight - Jedi Academy","210","61890","294","338","920","262.857142"
"66","E3 2016","210","101790","484","701","17226","4921.714285"
"67","Party Girls","195","40860","209","256","1491","458.76923"
"68","Mario Kart 8","195","160875","838","1064","1710","526.153846"
"69","Mario Is Missing!","195","268875","1378","1788","44200","13600"
"70","Mario's Time Machine","180","292035","1622","1694","4299","1433"
"71","Super Star Wars","180","79335","440","606","335","111.666666"
"72","ClueFinders 5th Grade Adventures: The Secret of the Living Volcano","165","180465","1093","1199","2542","924.363636"
"73","World of Fishing","150","109620","730","806","1517","606.8"
"74","FreeCell","135","56640","419","434","941","418.222222"
"75","Super Mario Land","135","156615","1160","1701","7341","3262.666666"
"76","The Game Awards 2016","135","75795","561","682","1427","634.222222"
"77","Mario Party 7","105","98670","939","1495","2159","1233.714285"
"78","Drawful 2","105","146415","1394","1610","1479","845.142857"
"79","Mario Party 5","90","134040","1629","1839","2615","1743.333333"
"80","Yoshi's Safari","90","102495","1138","1527","2358","1572"
"81","Mario Teaches Typing","75","78600","1048","1286","763","610.4"
"82","Mega Man X2","60","22860","381","443","73","73"
"83","Board Games","45","11835","263","305","32","42.666666"
"84","Mario Party 6","45","48570","1183","1495","865","1153.333333"
"85","Putt-Putt: Pep's Birthday Surprise","30","19665","655","666","360","720"
"86","Checkers","30","27195","906","967","100","200"
"87","Mystery Case Files: Huntsville","30","8145","271","324","126","252"
