"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","RuneScape","26310","18594465","696","1894","269689","615.026225"
"2","Overwatch","21075","9644400","454","1487","222593","633.716725"
"3","Super Mario Maker","18165","24294060","1288","4805","491140","1622.262592"
"4","Super Mario 64","9345","7340310","751","1653","140380","901.316211"
"5","Risk II","5775","4095600","709","1248","55564","577.288311"
"6","Super Mario RPG: Legend of the Seven Stars","5670","4720740","716","2264","115820","1225.608465"
"7","Ace Attorney Investigations: Miles Edgeworth","3795","2142975","556","771","9339","147.652173"
"8","Phoenix Wright: Ace Attorney - Spirit of Justice","3075","2126580","686","915","31151","607.82439"
"9","Super Mario Galaxy","2895","2815830","1022","2416","22927","475.170984"
"10","Mario Party 3","2865","3703395","1093","1887","32217","674.70157"
"11","Paper Mario: The Thousand-Year Door","2655","2570535","967","1315","24185","546.553672"
"12","Phoenix Wright: Ace Attorney - Dual Destinies","2595","1650570","621","1042","20008","462.612716"
"13","Super Mario Galaxy 2","2535","3623955","1280","2628","171246","4053.159763"
"14","Super Mario Sunshine","2400","2574810","1053","1693","37710","942.75"
"15","Mario & Luigi: Paper Jam","1935","1877565","972","1145","2754","85.395348"
"16","Paper Mario: Color Splash","1935","1843620","902","1315","18781","582.356589"
"17","Yu-Gi-Oh! Forbidden Memories","1830","1970385","1045","1474","19231","630.52459"
"18","Professor Layton vs. Phoenix Wright: Ace Attorney","1710","1411260","815","1115","14399","505.22807"
"19","Mario & Luigi: Bowser's Inside Story","1500","1258065","831","1269","15315","612.6"
"20","The Legend of Zelda: Ocarina of Time","1440","1869390","1259","1783","37220","1550.833333"
"21","Mario & Luigi: Partners in Time","1275","941070","728","1108","13798","649.317647"
"22","Paper Mario: Sticker Star","1245","1243320","976","1490","18258","879.903614"
"23","Dark Souls III","1215","710175","597","1215","7757","383.061728"
"24","Dark Souls II: Scholar of the First Sin","1155","696015","583","855","1073","55.740259"
"25","Paper Mario","1095","1067430","1138","2238","55620","3047.671232"
"26","Professor Layton and the Curious Village","1020","874560","858","1146","11207","659.235294"
"27","The Legend of Zelda: Majora's Mask","1005","1015080","756","1266","9578","571.820895"
"28","The Legend of Zelda: Twilight Princess HD","1005","878910","884","1326","10339","617.253731"
"29","Super Mario All-Stars","960","1236465","1178","1779","12518","782.375"
"30","The Legend of Zelda: The Wind Waker HD","915","989415","1098","1395","45728","2998.557377"
"31","Talk Shows & Podcasts","885","471255","838","2475","13527","917.084745"
"32","The Legend of Zelda: Spirit Tracks","840","735780","875","1177","10429","744.928571"
"33","The Legend of Zelda: Oracle of Seasons","810","906435","1119","1813","87264","6464"
"34","The Legend of Zelda: Oracle of Ages","810","900810","1112","1777","66605","4933.703703"
"35","The Legend of Zelda: Link's Awakening DX","780","438330","557","1498","32304","2484.923076"
"36","Lifeline","675","646755","967","1652","5991","532.533333"
"37","The Legend of Zelda","630","741660","1177","2276","6081","579.142857"
"38","The Legend of Zelda: The Minish Cap","615","572625","931","1120","8835","861.951219"
"39","Final Fantasy: Mystic Quest","615","186660","288","428","424","41.365853"
"40","12HourChallenge","600","255045","385","619","1398","139.8"
"41","The Lord of the Rings Online","585","327525","530","860","8196","840.615384"
"42","Bingo","540","226770","376","764","791","87.888888"
"43","The Walking Dead: Season Two","510","278655","546","648","2805","330"
"44","Zelda II: The Adventure of Link","510","700410","1373","1669","7521","884.823529"
"45","The Lord of the Rings: War in the North","510","141510","267","360","2965","348.823529"
"46","Eternal Darkness: Sanity's Requiem","480","282570","584","769","4450","556.25"
"47","The Legend of Zelda: A Link to the Past","480","794925","1656","2532","132111","16513.875"
"48","Creative","465","173175","372","446","1743","224.903225"
