"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Kingdom Hearts HD 1.5 + 2.5 ReMIX","27165","14877210","531","1081","163893","361.994478"
"2","The Legend of Zelda: Ocarina of Time","24690","15590715","611","2007","165251","401.582017"
"3","Super Mario Odyssey","8235","5130480","589","1564","54166","394.652094"
"4","Final Fantasy IX","5565","3234960","571","983","34280","369.595687"
"5","Persona 5","5280","2823210","548","1705","28094","319.25"
"6","Super Mario 64","3255","2764170","737","2755","28421","523.8894"
"7","The Legend of Dragoon","2850","1621890","566","1076","15853","333.747368"
"8","Super Mario Sunshine","2850","1910955","712","1397","17541","369.28421"
"9","Xenoblade Chronicles: Definitive Edition","2700","1089570","408","961","12883","286.288888"
"10","Phoenix Wright: Ace Attorney - Dual Destinies","2670","1479360","538","769","12405","278.764044"
"11","Donkey Kong 64","2580","2077095","832","1765","20703","481.465116"
"12","Yu-Gi-Oh! Forbidden Memories","2475","1335825","536","879","14874","360.581818"
"13","Banjo-Kazooie","2445","1373010","557","1656","17541","430.453987"
"14","Sekiro: Shadows Die Twice","2175","1065945","457","1690","11676","322.096551"
"15","Final Fantasy VII Remake","2025","678060","334","639","10062","298.133333"
"16","The Legend of Zelda: Majora's Mask","1905","1452270","749","1721","14136","445.228346"
"17","Kingdom Hearts HD 1.5 + 2.5 Remix","1875","945660","496","812","9322","298.304"
"18","Bloodborne","1695","909675","503","3770","10632","376.353982"
"19","Crash Bandicoot 4: It's About Time","1560","964965","566","912","11160","429.230769"
"20","Mario & Luigi: Bowser's Inside Story","1530","1033455","666","902","9150","358.823529"
"21","Apollo Justice: Ace Attorney","1530","1001865","581","1233","8189","321.137254"
"22","Super Mario Galaxy","1515","920565","519","1115","10182","403.247524"
"23","Super Mario RPG: Legend of the Seven Stars","1455","1377150","859","2039","14652","604.206185"
"24","Dark Souls","1365","717270","513","719","6758","297.054945"
"25","Dark Souls III","1275","609075","450","668","6728","316.611764"
"26","Battletoads","1260","501345","370","604","6306","300.285714"
"27","Demon's Souls","1215","476115","385","581","5011","247.45679"
"28","Pokémon Stadium","1200","1010670","835","1330","10613","530.65"
"29","Pokémon Red/Blue","1095","740580","693","986","6786","371.835616"
"30","Super Mario 3D World","1065","1386945","947","3978","65081","3666.535211"
"31","Dark Souls II: Scholar of the First Sin","1050","566625","555","708","6686","382.057142"
"32","Kingdom Hearts: Melody of Memory","1020","444930","410","697","6004","353.17647"
"33","Professor Layton and the Diabolical Box","960","598680","622","908","5965","372.8125"
"34","Final Fantasy IV","930","510375","571","851","7917","510.774193"
"35","Superman: The New Superman Adventures","885","629535","751","1055","5715","387.457627"
"36","Rayman","855","407295","412","592","3851","270.245614"
"37","Rayman Legends","840","441270","419","844","4782","341.571428"
"38","Super Ghouls 'n Ghosts","780","510915","670","925","4446","342"
"39","Lifeline","750","406770","557","635","4405","352.4"
"40","Mega Man ZX Advent","705","248220","357","532","2479","210.978723"
"41","Mega Man Zero 4","675","292110","406","504","3017","268.177777"
"42","Pokémon FireRed/LeafGreen","675","637425","793","2490","6308","560.711111"
"43","Resident Evil 4","660","1820040","2399","10251","288283","26207.545454"
"44","Silent Hill","660","315690","426","590","3860","350.90909"
"45","Yu-Gi-Oh! The Duelists of the Roses","645","317580","472","589","3766","350.325581"
"46","The Legend of Zelda: A Link to the Past","645","332295","510","688","4582","426.232558"
"47","Pokémon Crystal","630","498090","780","965","4279","407.523809"
