"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"48","Mega Man ZX","600","245895","409","458","3639","363.9"
"49","Donkey Kong Country: Tropical Freeze","600","283950","513","759","3629","362.9"
"50","Fall Guys","600","322395","497","851","4275","427.5"
"51","Pokémon Trading Card Game","585","765825","1240","1887","11205","1149.230769"
"52","Super Mario 3D All-Stars","585","463875","575","1096","4750","487.179487"
"53","Metal Gear Solid","585","333510","575","702","3282","336.615384"
"54","Pikmin 2","555","587265","1032","1233","7424","802.594594"
"55","Resident Evil","555","223890","407","517","2436","263.351351"
"56","Shadow of the Colossus","555","277320","444","714","3330","360"
"57","Donkey Kong Country","540","509505","932","1117","4404","489.333333"
"58","Castlevania III: Dracula's Curse","525","532170","923","1216","5758","658.057142"
"59","Jak and Daxter: The Precursor Legacy","525","443895","648","1213","5023","574.057142"
"60","Super Mario All-Stars","525","811845","1275","4093","242596","27725.257142"
"61","Xenoblade Chronicles","510","145065","292","349","1899","223.411764"
"62","Mike Tyson's Punch-Out!!","510","606765","789","1594","6070","714.117647"
"63","Mega Man Zero","495","224430","463","669","2500","303.030303"
"64","Mario Party 3","495","771345","1404","2083","7923","960.363636"
"65","Snowboard Kids","495","330435","683","808","2882","349.333333"
"66","Monopoly Family Fun Pack","495","321240","646","763","3542","429.333333"
"67","Spyro the Dragon","495","323475","668","799","3135","380"
"68","Kirby Air Ride","450","403635","782","1060","3943","525.733333"
"69","Cyber Hook","435","170055","374","508","2685","370.344827"
"70","Mega Man Zero 3","420","201015","499","577","2287","326.714285"
"71","Pokémon Emerald","420","265275","631","1173","2336","333.714285"
"72","Super Monkey Ball: Banana Blitz HD","405","421875","989","1435","4264","631.703703"
"73","Resident Evil 3","390","249780","640","851","2382","366.461538"
"74","Snowboard Kids 2","375","573540","947","1834","4661","745.76"
"75","Super Meat Boy Forever","360","212295","589","699","2209","368.166666"
"76","I am Bread","330","148890","436","563","2068","376"
"77","Star Fox: Assault","330","315360","866","1111","4205","764.545454"
"78","Crash Bandicoot","315","240435","763","899","1887","359.428571"
"79","Mega Man Zero 2","300","162300","541","587","1228","245.6"
"80","Donkey Kong Country 2: Diddy's Kong Quest","285","224970","789","815","1979","416.631578"
"81","Sonic Colors","285","313740","999","1372","3376","710.736842"
"82","Super Mario Galaxy 2","285","320730","1125","1372","2098","441.68421"
"83","Mario Kart 8","270","376020","971","2240","3200","711.111111"
"84","Bomberman 64","255","311775","1222","1322","3479","818.588235"
"85","Mario Golf: Toadstool Tour","255","272130","969","1243","2439","573.882352"
"86","Mega Man Zero/ZX Legacy Collection","240","112770","469","561","1236","309"
"87","Star Wars Trilogy: Apprentice of the Force","225","197130","891","1033","2456","654.933333"
"88","Diddy Kong Racing","225","190530","863","925","1491","397.6"
"89","WarioWare: Smooth Moves","195","177525","935","1094","2204","678.153846"
"90","Kirby's Adventure","180","165630","920","1119","1644","548"
"91","Mario & Sonic at the Olympic Games Tokyo 2020","180","185640","946","1320","1648","549.333333"
"92","CastleStorm II","180","51195","284","324","1414","471.333333"
"93","Super Mario Bros. 3","165","123870","750","789","660","240"
"94","Hollow Knight","165","63450","356","480","846","307.636363"
"95","Talk Shows & Podcasts","150","57210","420","524","687","274.8"
"96","Kingdom Hearts II","150","72195","464","572","861","344.4"
"97","RUNE II","135","45960","340","451","563","250.222222"
"98","Resident Evil 2","135","48030","347","473","560","248.888888"
"99","Crash Bandicoot N. Sane Trilogy","135","71790","531","563","829","368.444444"
"100","Super Mario Bros. 2","135","92205","683","779","940","417.777777"
