Game,MOMAM,is_nes,is_snes,is_n64,is_gcn,is_wii,is_wiiu,is_switch,is_gb,is_gba,is_ds,is_pc,is_playstation,is_2d,is_3d,is_mario,is_zelda,is_pokemon,is_starfox,is_pikmin,is_sonic,is_rare,is_sega,is_retrostudios,is_capcom,is_konami,is_disney,is_random,is_platformer,is_adventure,is_action,is_rpg,is_puzzle,is_beatem_up,is_racing,is_sports,fighting,is_rhythm,is_romhack,is_party,is_hundo,is_educational,is_shooter,is_strategy,is_card_collector,is_metroidvania,is_multigame,is_bonus,is_hardmode,is_sub_battle,pie_won_last,pie_playtime_last_year,spike_playtime_last_year,for_a_point,crowd_control,in_game_challenge,is_cpu,is_blind,aggregate_rating,winner,was_close,
Star Fox Assault,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.705,pie,0.5,
Star Wars: Apprentice of the Force (GBA),5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.654,pie,0.5,
Super Mario All-Stars,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,0.5,0.876,pie,0.5,
Super Mario Land 64,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,28,1,0,0,0,0.5,0.958,spike,0.5,
Super Mario RPG Low Level,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,19,15,1,0,0,0,0.5,0.89,pie,0.5,
Super Monkey Ball: Banana Blitz HD,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.728,pie,0.5,
WarioWare Smooth Moves,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.817,spike,0.5,
Ape Escape,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.901,spike,0.5,
Bowser's Fury Blind Race,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,1,0.89,pie,1,
Breath of the Wild 40 Shrine Challenge,6,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0.971,spike,0,
