"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"53","Super Mario All-Stars","465","719640","1547","1877","8027","1035.741935"
"54","The Legend of Zelda: Skyward Sword","465","417165","897","1158","6023","777.16129"
"55","Mario Party 2","450","448845","997","1365","4877","650.266666"
"56","E3 2017","450","211545","458","619","6674","889.866666"
"57","The Legend of Zelda: A Link to the Past","435","521985","1199","1737","10409","1435.724137"
"58","Quest 64","435","570030","1310","1609","6672","920.275862"
"59","Pokémon Crystal","375","657180","1752","2585","47564","7610.24"
"60","Risk II","375","211080","534","795","3227","516.32"
"61","Diddy Kong Racing","360","429210","1192","1478","4059","676.5"
"62","Mario Golf: Toadstool Tour","330","428040","1297","1540","3573","649.636363"
"63","Aviary Attorney","330","200580","607","682","2490","452.727272"
"64","GoldenEye 007","315","358620","1138","1475","5048","961.523809"
"65","Super Mario Kart","315","479325","1521","1645","4094","779.809523"
"66","Sonic the Hedgehog","315","448965","1425","1683","4602","876.571428"
"67","Super Monkey Ball","300","342150","1092","1304","2961","592.2"
"68","Super Metroid","270","256935","951","1227","2358","524"
"69","Glover","270","353280","1308","1588","3014","669.777777"
"70","New Super Mario Bros. Wii","270","267840","992","1382","3365","747.777777"
"71","The Walking Dead: A New Frontier","270","72390","268","375","1378","306.222222"
"72","Terraria","255","114630","449","533","2217","521.647058"
"73","Mario Kart: Double Dash!!","255","371400","1456","1665","3877","912.235294"
"74","Hatsune Miku: Project Diva X","255","120000","470","515","1740","409.411764"
"75","Donkey Kong Country 2: Diddy's Kong Quest","225","114165","507","651","2171","578.933333"
"76","Checkers","210","59325","203","465","1353","386.571428"
"77","The Game Awards","210","121605","579","733","2039","582.571428"
"78","Mario Tennis","195","211200","1083","1340","2439","750.461538"
"79","Star Fox 64","195","233820","1199","1501","2531","778.76923"
"80","Pachinko!","180","58170","323","419","920","306.666666"
"81","Mario Is Missing!","150","149010","993","1172","1991","796.4"
"82","Puyo Puyo Tetris","150","66225","376","527","1881","752.4"
"83","Snipperclips: Cut It Out, Together!","120","237330","1977","2671","42101","21050.5"
"84","Pokémon Snap","120","111915","932","1311","2445","1222.5"
"85","Fantasy Sports","105","33300","317","366","740","422.857142"
"86","Power Rangers: Battle for the Grid","90","65085","723","853","1310","873.333333"
"87","Town of Salem","90","66060","734","787","828","552"
"88","Putt-Putt Saves The Zoo","45","36075","801","828","802","1069.333333"
"89","Mystery Fun House","45","13185","293","350","309","412"
"90","Freecell Solitaire Cube","45","23745","527","602","3458","4610.666666"
"91","Putt-Putt Goes To The Moon","30","22890","763","785","396","792"
"92","Curve Fever","30","17640","588","594","454","908"
"93","Mystery Quest","15","2430","162","162","0","0"
"94","Social Eating","15","8145","543","543","486","1944"
"95","Mystery Case Files: Prime Suspects","15","3195","213","213","0","0"
