"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","PUBG: BATTLEGROUNDS","39675","18565170","441","1108","300995","455.190926"
"2","Super Mario Odyssey","16230","15053955","785","2794","177952","657.863216"
"3","Super Mario Galaxy","7320","6181065","811","2910","176911","1450.090163"
"4","Persona 4 Golden","5655","3682395","640","1097","37541","398.312997"
"5","Mafia LIVE!","5595","2977815","537","792","30854","330.873994"
"6","Super Mario Galaxy 2","4365","2846745","615","2410","96264","1323.216494"
"7","Super Mario Sunshine","4275","3260130","678","2421","98442","1381.642105"
"8","Super Mario 64","3915","3055830","752","1598","50366","771.89272"
"9","Zero Escape: Virtue's Last Reward","3825","2231085","561","1214","29625","464.705882"
"10","The Legend of Zelda: Breath of the Wild","3300","2250810","644","2168","59298","1078.145454"
"11","Final Fantasy VI","2910","1860510","634","1010","19673","405.628865"
"12","Danganronpa V3: Killing Harmony","2850","2198430","757","1192","21520","453.052631"
"13","Paper Mario","2820","1826265","616","1215","33431","711.297872"
"14","Bingo","2760","1024440","358","645","15044","327.043478"
"15","Super Mario RPG: Legend of the Seven Stars","2760","2433825","840","1820","28448","618.434782"
"16","Poker","2565","1030290","422","738","16853","394.222222"
"17","The Elder Scrolls V: Skyrim","2490","1611090","661","1105","21370","514.939759"
"18","Danganronpa 2: Goodbye Despair","2490","2343600","941","1297","26049","627.686746"
"19","Fire Emblem: The Sacred Stones","2475","1887660","750","1116","22825","553.333333"
"20","Mario Party 3","2205","2916450","1038","2827","47936","1304.380952"
"21","Mario Kart 8","2055","1293120","634","1155","18813","549.284671"
"22","Danganronpa: Trigger Happy Havoc","1905","1739640","878","1315","19250","606.299212"
"23","Xenoblade Chronicles 2","1830","1334385","730","1442","14375","471.311475"
"24","Fire Emblem: The Blazing Blade","1650","1282155","759","1314","15955","580.181818"
"25","Zero Escape: Nine Hours, Nine Persons, Nine Doors","1515","1250970","828","1175","12127","480.277227"
"26","Kingdom Hearts HD 1.5 + 2.5 ReMIX","1500","991440","659","904","11424","456.96"
"27","Zero Escape: Zero Time Dilemma","1350","1077330","793","1198","11896","528.711111"
"28","Mario + Rabbids Kingdom Battle","1200","984840","820","1459","12132","606.6"
"29","Super Meat Boy","1200","718080","526","963","9244","462.2"
"30","Yu-Gi-Oh! Forbidden Memories","1140","958350","772","1270","15187","799.315789"
"31","IRL","1140","585960","497","1176","13706","721.368421"
"32","Darkest Dungeon","960","518910","500","723","5562","347.625"
"33","Ghost Trick: Phantom Detective","945","688185","705","1054","7870","499.682539"
"34","Metroid Prime","825","762660","924","1147","6999","509.018181"
"35","The Jackbox Party Pack 4","780","469170","601","823","5801","446.230769"
"36","Professor Layton and the Diabolical Box","765","565410","736","992","6837","536.235294"
"37","Overwatch","750","188055","229","388","6868","549.44"
"38","Super Mario Maker","735","526305","731","1245","6387","521.387755"
"39","Talk Shows & Podcasts","720","469155","586","1116","7666","638.833333"
"40","Mario Party","690","668430","968","1221","6154","535.130434"
"41","Donkey Kong Country","675","764205","1132","1542","9883","878.488888"
"42","Picross S","630","353055","563","820","5582","531.619047"
"43","Banjo-Kazooie","615","837690","1362","1600","9757","951.902439"
"44","RuneScape","600","235335","378","593","3602","360.2"
"45","Cuphead","585","550650","934","1359","7449","764"
"46","The Legend of Zelda: Majora's Mask","570","589110","1033","1215","6210","653.68421"
"47","Final Fantasy VII","525","503490","974","1294","11324","1294.171428"
"48","Pikmin","525","634710","1208","1399","7234","826.742857"
"49","Monster Hunter 3 Ultimate","510","365370","706","893","5378","632.705882"
"50","Mafia","495","207930","419","563","2841","344.363636"
"51","The Legend of Zelda: Ocarina of Time","495","397545","637","975","4456","540.121212"
"52","Mega Man Anniversary Collection","480","374610","602","952","3979","497.375"
