"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario 64","6480","2543640","374","2739","48982","453.537037"
"2","Final Fantasy IX","6090","2505840","361","950","43648","430.029556"
"3","Super Mario Galaxy","5610","2573700","417","1633","35112","375.529411"
"4","Super Mario Sunshine","5310","2756655","497","1172","39180","442.711864"
"5","Chrono Cross","4725","1686810","357","722","27572","350.120634"
"6","Donkey Kong Country 2: Diddy's Kong Quest","4395","1306035","287","907","25616","349.706484"
"7","Super Mario Galaxy 2","4395","3461535","580","2119","152121","2076.737201"
"8","Super Mario All-Stars","1605","747150","451","710","10688","399.551401"
"9","Talk Shows & Podcasts","1350","625230","420","972","8029","356.844444"
"10","The Legend of Zelda: Ocarina of Time","1335","935670","687","1103","32186","1446.561797"
"11","Mega Man 2","1320","215535","143","482","1064","48.363636"
"12","The Legend of Zelda: Majora's Mask","1290","470565","253","957","4808","223.627906"
"13","The Legend of Zelda: Twilight Princess","1245","182490","138","215","3644","175.614457"
"14","Kingdom Hearts HD 1.5 ReMIX","1185","441315","378","1135","7064","357.670886"
"15","Donkey Kong Country: Tropical Freeze","1170","339900","239","762","6537","335.230769"
"16","Mario Party 3","1050","458010","435","564","5528","315.885714"
"17","Donkey Kong Country","975","396615","339","514","5341","328.676923"
"18","The Legend of Zelda: Link's Awakening","900","130815","146","221","495","33"
"19","The Legend of Zelda: Twilight Princess HD","885","336540","385","713","4163","282.237288"
"20","The Legend of Zelda: Link's Awakening DX","810","275895","399","869","38776","2872.296296"
"21","Mega Man X","750","161850","193","516","3653","292.24"
"22","Super Mario Maker","750","388575","410","738","4527","362.16"
"23","Rayman Legends","750","188595","229","449","9269","741.52"
"24","Super Mario RPG: Legend of the Seven Stars","720","241080","378","668","3907","325.583333"
"25","Ori and the Blind Forest","690","126210","148","353","2571","223.565217"
"26","Pokémon Red/Blue","645","190080","245","456","4065","378.139534"
"27","The Legend of Zelda: Oracle of Seasons","615","282090","458","960","55731","5437.170731"
"28","Groovy Bunch of Games","600","118335","112","629","3532","353.2"
"29","The Legend of Zelda: The Wind Waker HD","570","235620","413","485","1929","203.052631"
"30","The Legend of Zelda: The Minish Cap","555","218160","393","503","3376","364.972972"
"31","Mario Kart 64","525","250470","477","764","3412","389.942857"
"32","The Legend of Zelda","525","211125","402","511","1617","184.8"
"33","Zelda II: The Adventure of Link","465","264675","569","689","3126","403.354838"
"34","Super Mario World 2: Yoshi's Island","465","216060","431","1217","42287","5456.387096"
"35","Super Mario 3D World","465","251475","543","675","12756","1645.935483"
"36","Rayman 3: Hoodlum Havoc","420","117315","278","503","4964","709.142857"
"37","Rayman","420","164340","409","637","7738","1105.428571"
"38","Super Mario World","420","137415","172","542","1913","273.285714"
"39","Sonic the Hedgehog","375","104760","278","360","2211","353.76"
"40","Mario Golf","300","152880","509","613","1396","279.2"
"41","Bucky O'Hare","300","45855","152","179","257","51.4"
"42","The Legend of Zelda: Oracle of Ages","300","143925","479","745","23741","4748.2"
"43","Paper Mario","285","87675","251","405","2272","478.315789"
"44","Unlisted on Twitch","285","104355","390","446","4669","982.947368"
"45","Yoshi's Safari","270","165030","611","719","2649","588.666666"
"46","Mighty No. 9","270","130080","481","573","2524","560.888888"
"47","Mega Man Anniversary Collection","255","55980","219","267","1037","244"
"48","Super Meat Boy","255","97695","372","778","1747","411.058823"
"49","The Legend of Zelda: A Link to the Past","240","200790","836","1270","64515","16128.75"
"50","Rayman Origins","210","78480","373","457","5509","1574"
"51","The Legend of Zelda: Spirit Tracks","195","70350","360","418","776","238.76923"
"52","New Super Mario Bros. U","195","110775","568","711","1067","328.307692"
"53","Mario Is Missing!","195","140220","719","980","43392","13351.384615"
"54","Sonic Generations","180","33135","184","232","1014","338"
"55","12HourChallenge","150","18030","120","206","100","40"
"56","Rayman 2: The Great Escape","150","50550","374","443","1345","538"
"57","Mega Man X2","135","30195","223","254","685","304.444444"
"58","Super Mario Land","120","61485","512","712","6619","3309.5"
"59","Super Mario Bros. 2","120","44115","367","415","478","239"
"60","Rayman 3","120","41025","341","455","4031","2015.5"
"61","Shovel Knight","105","25890","246","287","560","320"
"62","Mario Teaches Typing","105","45630","434","530","742","424"
"63","Donkey Kong Land III","75","13395","178","234","401","320.8"
"64","Rocky & Bullwinkle","75","12210","162","179","77","61.6"
"65","Portal","60","10740","179","336","188","188"
"66","Rayman Rush","60","20145","327","387","344","344"
"67","Sonic Lost World","15","1395","93","93","0","0"
