"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Legend of Zelda: Ocarina of Time","39375","28374780","674","1879","370651","564.801523"
"2","Super Mario Odyssey","18450","10422960","575","7484","426446","1386.81626"
"3","Donkey Kong Country: Tropical Freeze","10020","5593050","504","1726","92083","551.395209"
"4","Celeste","6615","3041145","436","1585","53122","481.832199"
"5","Yu-Gi-Oh! Forbidden Memories","4785","3562800","716","1329","43037","539.648902"
"6","Donkey Kong 64","4275","3149310","690","1333","38688","542.989473"
"7","Super Mario 64","4215","3423105","711","2715","58875","838.078291"
"8","Crash Bandicoot N. Sane Trilogy","2685","1976400","519","1375","25240","564.022346"
"9","The Legend of Zelda: Ocarina of Time - Master Quest","1545","1533240","877","1784","16128","626.330097"
"10","Pokémon: Let's Go, Pikachu!","1290","612330","438","1003","11762","547.069767"
"11","Cuphead","1260","522105","414","707","9891","471"
"12","Donkey Kong Land III","1215","531180","443","884","9235","456.049382"
"13","Donkey Kong Country","1125","627480","454","1022","8479","452.213333"
"14","Mega Man","1080","904320","829","1004","8762","486.777777"
"15","Kingdom Hearts HD 1.5 + 2.5 ReMIX","1065","653310","602","1078","10521","592.732394"
"16","Mario Party","1020","687615","677","2516","41735","2455"
"17","Super Mario RPG: Legend of the Seven Stars","1020","1354875","1151","3476","78930","4642.941176"
"18","The Legend of Zelda: A Link to the Past","1005","625230","610","1243","9880","589.850746"
"19","Battletoads","900","1172460","1136","2071","13823","921.533333"
"20","Super Mario 3D World","900","663645","627","1102","8301","553.4"
"21","Spyro the Dragon","870","858225","983","6745","93490","6447.586206"
"22","The Messenger","855","344370","433","603","7035","493.68421"
"23","Spyro Reignited Trilogy","795","657765","792","1582","7951","600.075471"
"24","Super Meat Boy","705","306555","420","558","3543","301.531914"
"25","Talk Shows & Podcasts","690","315630","457","812","5333","463.73913"
"26","Pokémon Red/Blue","675","605190","837","1132","7463","663.377777"
"27","Metroid: Other M","675","358455","449","1115","2981","264.977777"
"28","Super Mario Sunshine","645","339870","364","664","4616","429.395348"
"29","Mario Party 3","615","856995","1261","1984","8137","793.853658"
"30","Rayman Legends","555","211800","354","739","4126","446.054054"
"31","Pikmin 2","525","270330","514","590","4857","555.085714"
"32","Zelda II: The Adventure of Link","525","565515","823","1241","5486","626.971428"
"33","Diddy Kong Racing","495","298935","584","803","5230","633.939393"
"34","Sonic Adventure 2: Battle","495","457440","654","1325","5811","704.363636"
"35","Mega Man X","495","289170","487","1079","4596","557.090909"
"36","Donkey Kong Country 3: Dixie Kong's Double Trouble!","480","362595","738","946","5289","661.125"
"37","The Legend of Zelda: Breath of the Wild","480","450000","937","2257","40761","5095.125"
"38","Mario Party 2","465","379650","810","1085","4515","582.580645"
"39","Mario Kart 8","450","263535","602","893","3849","513.2"
"40","Quest 64","450","479040","1064","1539","6066","808.8"
"41","Resident Evil: Director's Cut","405","204135","504","796","3051","452"
"42","Super Monkey Ball 2","390","796395","2042","4389","106477","16381.076923"
"43","Sonic Mania","390","121800","286","470","2552","392.615384"
"44","Pokémon Stadium","390","502290","1287","1939","4703","723.538461"
"45","Mario Golf: Toadstool Tour","390","563115","1443","1740","6238","959.692307"
"46","Mega Man & Bass","375","226035","597","782","3572","571.52"
"47","Super Mario All-Stars","345","375705","1089","1249","4983","866.608695"
"48","Donkey Kong Country 2: Diddy's Kong Quest","330","190905","578","678","2719","494.363636"
"49","GoldenEye 007","330","322650","977","1253","2929","532.545454"
"50","Banjo-Kazooie: Grunty's Revenge","315","279075","465","1160","4037","768.95238"
"51","Mega Man 11","315","208095","508","890","2784","530.285714"
"52","Crash Team Racing","255","204885","803","1078","4305","1012.941176"
"53","Ori and the Blind Forest","240","59100","243","353","1620","405"
"54","Super Metroid","240","274590","1144","1691","3247","811.75"
"55","Mario Kart 64","210","209610","998","1642","4894","1398.285714"
"56","Kirby 64: The Crystal Shards","210","161460","697","1078","3281","937.428571"
"57","Super Mario Galaxy","195","69480","378","458","1287","396"
"58","F-Zero","195","184620","946","1047","2575","792.307692"
"59","Mafia LIVE!","165","109080","661","782","1463","532"
"60","Star Fox 64","150","165240","1101","1394","2503","1001.2"
"61","Banjo-Kazooie","150","78735","524","682","1204","481.6"
"62","The Lion King","150","220110","1467","1620","3285","1314"
"63","Mario Is Missing!","150","122820","818","972","1988","795.2"
"64","Super Monkey Ball","135","219120","1623","1792","3278","1456.888888"
"65","New Super Luigi U","120","257055","2142","2733","66968","33484"
"66","Ratchet & Clank: Up Your Arsenal","105","21360","232","302","480","274.285714"
"67","Disney's Goof Troop","105","195660","1863","3109","17860","10205.714285"
"68","The Magical Quest Starring Mickey Mouse","105","288270","2745","3328","52878","30216"
"69","Rayman","105","31575","311","406","587","335.428571"
"70","Sonic Generations","75","21390","344","443","479","383.2"
"71","Disney's Aladdin","60","51330","855","1144","19924","19924"
"72","Shovel Knight","60","12975","216","310","303","303"
"73","Super Mario World","45","52080","1157","1173","367","489.333333"
"74","Pic-a-Pix Color","45","8295","184","320","323","430.666666"
