"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"37","The Secret of Monkey Island","780","664905","834","1148","17159","1319.923076"
"38","Indiana Jones and the Fate of Atlantis","720","648240","936","1322","10055","837.916666"
"39","Crash Bandicoot N. Sane Trilogy","660","625470","934","1143","6601","600.090909"
"40","EpicMafia","630","415155","615","1245","11336","1079.619047"
"41","Battletoads","585","815790","1283","1696","12304","1261.948717"
"42","Talk Shows & Podcasts","555","385440","689","1421","10160","1098.378378"
"43","The Jackbox Party Pack 5","540","486630","857","1439","11141","1237.888888"
"44","Total War: Warhammer II","525","282480","540","745","6174","705.6"
"45","Pikmin 2","525","646620","1231","1401","7349","839.885714"
"46","The Legend of Zelda: Breath of the Wild","525","753510","738","2850","38281","4374.971428"
"47","Just Cause 4","510","228945","421","561","4805","565.294117"
"48","Super Mario Odyssey","480","454815","923","1512","35180","4397.5"
"49","Sonic the Hedgehog","465","555690","1195","1503","9222","1189.935483"
"50","Thronebreaker: The Witcher Tales","450","239310","532","796","6430","857.333333"
"51","Sonic Adventure 2: Battle","420","532050","656","1725","6834","976.285714"
"52","I Wanna Be The Boshy","405","265020","678","781","4385","649.629629"
"53","IRL","390","163020","436","871","12739","1959.846153"
"54","Pokémon Red/Blue","390","483090","1118","1665","5577","858"
"55","GoldenEye 007","375","536055","1429","1689","8895","1423.2"
"56","Quest 64","375","527730","1407","1510","5907","945.12"
"57","Super Monkey Ball 2","375","758190","2021","3581","72271","11563.36"
"58","Super Mario Party","375","844440","2251","2787","8169","1307.04"
"59","Lifeline","375","273255","728","979","3840","614.4"
"60","Mega Man X","360","373155","1036","1208","5504","917.333333"
"61","The Legend of Zelda: A Link to the Past","345","460950","1336","2720","34340","5972.173913"
"62","Celeste","345","181440","525","643","0","0"
"63","To the Moon","330","145560","441","583","3009","547.090909"
"64","The World Ends with You","330","224505","680","923","6672","1213.090909"
"65","Banjo-Kazooie: Grunty's Revenge","315","347955","1104","1394","4538","864.380952"
"66","Pokémon Stadium","315","529575","1681","1779","4977","948"
"67","Marvel's Spider-Man","300","287595","958","1213","6790","1358"
"68","Spyro the Dragon","285","1158525","4065","8539","303502","63895.157894"
"69","Layers of Fear","270","189765","702","804","2758","612.888888"
"70","The Lord of the Rings Online","255","153720","602","746","4994","1175.058823"
"71","The Banner Saga 3","255","108630","426","500","2651","623.764705"
"72","Crash Team Racing","255","332820","1305","1882","6755","1589.411764"
"73","Party Hard 2","255","152655","598","769","3055","718.823529"
"74","F-Zero","255","363960","1427","1516","5016","1180.235294"
"75","Super Metroid","255","339315","1330","1823","4341","1021.411764"
"76","The Lion King","255","629100","2467","4796","119169","28039.764705"
"77","Flintstones Pinball","255","112905","442","550","2264","532.705882"
"78","The Game Awards","225","175020","777","1103","2073","552.8"
"79","Mario Kart 8","225","287325","1277","1452","3226","860.266666"
"80","Mario Is Missing!","195","216930","1112","1480","4637","1426.76923"
"81","Jackbox Party Packs","195","158280","811","1049","2689","827.384615"
"82","Kirby 64: The Crystal Shards","195","180600","836","1200","3792","1166.76923"
"83","The Flintstones","180","100755","559","717","4791","1597"
"84","The Magical Quest Starring Mickey Mouse","180","713880","3966","8515","193074","64358"
"85","Mario Kart 64","180","279735","1554","1735","3557","1185.666666"
"86","E3 2018","165","95970","581","692","9039","3286.90909"
"87","New Super Luigi U","165","382395","2317","3328","52648","19144.727272"
"88","Paper Mario: The Thousand-Year Door","150","136050","907","1082","1938","775.2"
"89","Super Monkey Ball","135","278985","2066","3001","40972","18209.777777"
"90","Star Fox 64","120","154095","1284","1814","2964","1482"
"91","Throne of Lies: Medieval Politics","105","74265","707","756","1577","901.142857"
"92","Call of Duty: Black Ops 4","105","86775","826","942","1902","1086.857142"
"93","Mario Power Tennis","90","145380","1615","1660","1528","1018.666666"
"94","Disney's Aladdin","90","88425","982","1363","2630","1753.333333"
"95","Social Eating","30","7260","242","327","250","500"
"96","Fire Emblem: The Blazing Blade","15","0","0","0","144","576"
