"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Legend of Zelda: Ocarina of Time","32940","41324340","1107","2343","512659","933.8051"
"2","Yu-Gi-Oh! Forbidden Memories","17160","18789540","1029","2111","265236","927.398601"
"3","Mafia LIVE!","16230","12411690","721","1655","359076","1327.452865"
"4","Super Smash Bros. Ultimate","9315","7254885","769","1923","164851","1061.84219"
"5","Paper Mario","7950","7426470","883","1534","120183","907.041509"
"6","Persona 5","6480","7189170","1051","1812","110942","1027.24074"
"7","Mafia.gg","4770","3679155","794","1528","87166","1096.427672"
"8","Old School RuneScape","4245","2742960","635","1046","67856","959.095406"
"9","PUBG: BATTLEGROUNDS","3945","2165235","576","1140","55844","849.338403"
"10","Fire Emblem: The Binding Blade","3405","2498100","727","1532","30318","534.237885"
"11","Donkey Kong 64","3045","3505020","1062","1881","58000","1142.857142"
"12","Mario Party 3","2535","3138660","938","1839","37746","893.396449"
"13","Overwatch","2400","1347855","539","892","41419","1035.475"
"14","RuneScape","2385","1475640","616","971","15547","391.119496"
"15","Yakuza 0","2355","1559400","656","1295","33994","866.089171"
"16","Super Mario 64","2265","2965365","1292","3488","121425","3216.556291"
"17","Fire Emblem: Path of Radiance","2175","1663770","759","1050","30781","849.131034"
"18","Mario Party","1755","2112660","1270","5606","103210","3528.547008"
"19","Bloodborne","1710","1384080","758","1177","41171","1444.596491"
"20","Super Mario RPG: Legend of the Seven Stars","1695","2300700","1268","3883","88159","3120.672566"
"21","Risk II","1620","1152375","680","1277","21285","788.333333"
"22","Pokémon Crystal","1560","1361100","821","1249","24010","923.461538"
"23","Final Fantasy XIV Online","1545","1273515","830","1295","41176","1599.067961"
"24","Xenoblade Chronicles 2","1455","853215","639","1116","36646","1511.175257"
"25","Super Mario Maker","1200","1084605","900","1364","16284","814.2"
"26","Mario Party 2","1200","1723680","1350","2166","28774","1438.7"
"27","Super Mario All-Stars","1155","1695915","1010","2083","32566","1691.740259"
"28","Pokémon: Let's Go, Pikachu!","1140","1019100","882","1547","23186","1220.315789"
"29","The Legend of Zelda: Ocarina of Time - Master Quest","1020","1536435","1436","1856","14116","830.352941"
"30","The Jackbox Party Pack 4","1020","686040","675","1062","11451","673.588235"
"31","Metal Gear Solid","1005","905910","882","1567","17795","1062.388059"
"32","Professor Layton and the Last Specter","930","597225","637","955","9897","638.516129"
"33","Bingo","930","695340","840","1456","13889","896.064516"
"34","Professor Layton and the Unwound Future","900","728595","799","1313","10130","675.333333"
"35","Castlevania: Symphony of the Night","885","1202085","1373","2024","24665","1672.203389"
"36","Zelda II: The Adventure of Link","780","1027995","945","1668","11750","903.846153"
