"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario Odyssey","15480","11850600","700","3646","174696","677.116279"
"2","Kingdom Hearts HD 1.5 + 2.5 ReMIX","15375","6925935","431","1246","111350","434.536585"
"3","Crash Bandicoot N. Sane Trilogy","13350","8870865","643","1322","117145","526.494382"
"4","Super Mario Galaxy","6255","3547320","507","1460","94266","904.230215"
"5","Super Mario 64","5370","2766555","507","1840","61351","685.486033"
"6","Donkey Kong Country","4215","1880880","391","961","32097","456.896797"
"7","Super Mario Galaxy 2","3390","2637135","644","2394","87808","1554.123893"
"8","The Legend of Zelda: Breath of the Wild","2715","1329090","503","2375","54329","1200.640883"
"9","Super Mario Sunshine","2535","1581735","617","1748","49382","1168.804733"
"10","Chrono Cross","2520","893325","349","661","17123","407.690476"
"11","Yu-Gi-Oh! Forbidden Memories","2460","1526985","517","1112","21937","535.04878"
"12","Final Fantasy IX","2445","1525830","584","1190","19671","482.723926"
"13","Final Fantasy VII","2340","1020240","413","813","10074","258.307692"
"14","Sonic Mania","1950","823695","422","726","14096","433.723076"
"15","Paper Mario: The Thousand-Year Door","1860","901170","481","725","13949","449.967741"
"16","Mario Party 3","1620","1644690","742","2227","48361","1791.148148"
"17","Paper Mario","1245","528000","409","676","6480","312.289156"
"18","Kingdom Hearts HD 2.5 ReMIX","1020","870570","830","1368","8827","519.235294"
"19","The Legend of Zelda: A Link to the Past","915","648885","560","1076","9134","598.950819"
"20","Rayman","900","398130","422","737","16295","1086.333333"
"21","The Legend of Zelda: Skyward Sword","900","595365","658","863","6597","439.8"
"22","Talk Shows & Podcasts","855","324450","391","796","4588","321.964912"
"23","Rayman 3: Hoodlum Havoc","855","373890","395","847","19398","1361.263157"
"24","Super Mario 64 DS","840","514980","530","908","6700","478.571428"
"25","Super Meat Boy","795","493860","496","1048","5460","412.075471"
"26","Donkey Kong Country 2: Diddy's Kong Quest","765","284025","375","500","4949","388.156862"
"27","Rayman 2: The Great Escape","765","400575","567","718","13998","1097.882352"
"28","Cuphead","750","607380","556","1454","9310","744.8"
"29","Super Mario 3D World","750","643710","858","1356","7051","564.08"
"30","Rayman Legends","705","376140","550","1267","5932","504.851063"
"31","Mario Party","690","559620","951","1283","6340","551.304347"
"32","Super Mario All-Stars","645","438270","657","1113","6493","604"
"33","Diddy Kong Racing","615","422145","641","1015","4476","436.682926"
"34","The Legend of Zelda: Majora's Mask","600","403005","671","1154","4342","434.2"
"35","Super Mario RPG: Legend of the Seven Stars","600","317835","481","708","3820","382"
"36","Banjo-Kazooie","585","546330","933","1493","23592","2419.692307"
"37","Pikmin","585","437640","748","1394","5147","527.897435"
"38","Resident Evil 2","540","213915","336","520","2684","298.222222"
"39","Crash Bandicoot: Warped","495","168645","479","839","2258","273.696969"
"40","Metroid Prime","495","237525","479","585","2744","332.60606"
"41","Super Monkey Ball","480","473790","958","1351","5719","714.875"
"42","Mario Party 2","465","296820","449","905","3951","509.806451"
"43","Resident Evil 3: Nemesis","450","200970","295","661","2314","308.533333"
"44","Mega Man Anniversary Collection","450","264390","467","695","2944","392.533333"
"45","Quest 64","435","310635","714","938","3478","479.724137"
"46","Luigi's Mansion","420","281355","669","924","3669","524.142857"
"47","Sonic the Hedgehog","390","340680","610","1602","4426","680.923076"
"48","UNO","360","171795","466","666","3068","511.333333"
"49","Kingdom Hearts HD 1.5 ReMIX","345","255750","741","1076","2767","481.217391"
"50","GoldenEye 007","330","253035","766","897","2612","474.90909"
"51","Rayman Origins","285","165360","568","636","2707","569.894736"
"52","Picross S","285","113010","492","764","2746","578.105263"
"53","Mario Kart: Double Dash!!","285","226590","795","889","3000","631.578947"
"54","Super Mario World","270","301875","1108","1365","4596","1021.333333"
"55","New Super Mario Bros. Wii","255","167040","655","788","2269","533.882352"
"56","Donkey Kong Country: Tropical Freeze","255","165375","648","1219","3573","840.705882"
"57","Super Metroid","240","126150","525","628","1565","391.25"
"58","Rayman Arena","225","65445","318","371","1507","401.866666"
"59","PUBG: BATTLEGROUNDS","225","97035","431","509","1495","398.666666"
"60","Pokémon Crystal","225","164490","731","768","3551","946.933333"
"61","Crash Bandicoot","210","121350","577","777","1860","531.428571"
"62","Crash Bandicoot 2: Cortex Strikes Back","210","170700","820","865","2114","604"
"63","Resident Evil: Director's Cut","195","69180","255","506","1236","380.307692"
"64","Sonic Adventure 2: Battle","195","146625","751","917","1719","528.923076"
"65","Star Fox 64","180","99390","552","733","1534","511.333333"
"66","Mario Kart 64","180","144240","801","835","1375","458.333333"
"67","Glover","165","89145","540","618","1335","485.454545"
"68","Sonic the Hedgehog 3","165","80085","483","548","1662","604.363636"
"69","Mario Is Missing!","150","63675","424","491","970","388"
"70","Mega Man X3","150","71505","476","542","1015","406"
"71","Rayman Raving Rabbids","135","34050","252","274","697","309.777777"
"72","Donkey Kong Land 2","135","120165","890","964","1153","512.444444"
"73","Pokémon Snap","120","69435","578","812","3332","1666"
"74","Rayman 3","120","45855","360","747","6097","3048.5"
"75","Sonic the Hedgehog 2","90","37500","416","475","848","565.333333"
"76","Donkey Kong Country 3: Dixie Kong's Double Trouble!","90","35145","390","436","862","574.666666"
"77","Mega Man X","75","34485","459","488","750","600"
"78","Donkey Kong Land III","75","60645","808","823","486","388.8"
"79","Super Mario Kart","60","26010","433","617","907","907"
"80","Mega Man X2","45","20415","453","458","622","829.333333"
"81","Rayman Forever","45","15210","338","352","488","650.666666"
"82","Rayman Kart","45","15045","334","348","1035","1380"
"83","Groovy Bunch of Games","30","3090","103","169","0","0"
"84","Mega Man X4","30","14205","473","477","390","780"
"85","Metroid: Other M","30","1500","50","100","0","0"
"86","A Hat in Time","30","6660","222","243","270","540"
